reaction_id,original_smiles,reaction_core,reaction_template
25,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:7][H:12].[O:1]=[C:2]([C:6]([C:5]([C:4](=[C:3]([H:9])[H:10])[H:11])([H:13])[H:14])([H:15])[H:16])[H:8],[O:1]([C:2][C:3][C:4][H:12])[H:7]>>[C:3]=[C:4].[H:7][H:12].[O:1]=[C:2],O(CCC[#1])[#1]>>C=C.[#1][#1].O=C
26,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:4](=[C:5]([H:13])[H:14])([H:11])[H:12].[O:1]([C:2](=[C:3]([H:9])[H:10])[C:6]([H:8])([H:15])[H:16])[H:7],[C:2]1([H:8])[C:3][C:4][C:5][C:6]1>>[C:2](=[C:3])[C:6][H:8].[C:4]=[C:5],C1([#1])CCCC1>>C(=C)C[#1].C=C
27,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C@:2]12([H:8])[C:3]([H:9])([H:10])[C@@:4]1([H:11])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16].[O:1]([H:7])[H:12],[C:4][H:12].[O:1][C:2]>>[C:2][C:4].[O:1][H:12],C[#1].OC>>CC.O[#1]
28,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:3](=[C:4]([H:11])[H:12])([H:9])[H:10].[O:1](/[C:2](=[C:6](\[C:5]([H:13])([H:14])[H:15])[H:16])[H:8])[H:7],[C:2]1[C:3][C:4][C:5][C:6]1[H:15]>>[C:2]=[C:6][C:5][H:15].[C:3]=[C:4],C1CCCC1[#1]>>C=CC[#1].C=C
29,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:10][H:14].[O:1]([C@:2]1([H:8])[C:3]([H:9])=[C:4]([H:11])[C:5]([H:12])([H:13])[C:6]1([H:15])[H:16])[H:7],[C:3]([C:4]([C:5][H:14])[H:12])[H:10]>>[C:3]=[C:4][C:5][H:12].[H:10][H:14],C(C(C[#1])[#1])[#1]>>C=CC[#1].[#1][#1]
30,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]([C:2]1([C:6]([C:5]([H:8])([H:13])[H:14])([H:15])[H:16])[C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])[H:7],[C:2][H:8].[C:4][C:5]>>[C:2][C:4].[C:5][H:8],C[#1].CC>>CC.C[#1]
31,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:8][H:15].[O:1]([C:2]1=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10])[H:7],[C:2]([C:6][H:15])[H:8]>>[C:2]=[C:6].[H:8][H:15],C(C[#1])[#1]>>C=C.[#1][#1]
32,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]=[C:2]([C:6]([C:5]([C:4]([C:3]([H:7])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:8],[O:1]([C:2][C:3])[H:7]>>[C:3][H:7].[O:1]=[C:2],O(CC)[#1]>>C[#1].O=C
33,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:7][H:9].[O:1]=[C:2]([C:3]1([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:8],[O:1]([C:2]([C:3][H:9])[C:6])[H:7]>>[H:7][H:9].[O:1]=[C:2][C:3][C:6],O(C(C[#1])C)[#1]>>[#1][#1].O=CCC
34,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:11][H:13].[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:12])=[C:5]([H:14])[C:6]1([H:15])[H:16])[H:7],[C:4]([C:5][H:13])[H:11]>>[C:4]=[C:5].[H:11][H:13],C(C[#1])[#1]>>C=C.[#1][#1]
35,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]([C:6]([C:5]([C:4]([C:3]([C:2][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:7],[O:1][C:2][C:6]>>[C:2].[O:1][C:6],OCC>>C.OC
36,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]([C@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]1([C:5]([C:6]([H:12])([H:15])[H:16])([H:13])[H:14])[H:11])[H:7],[C:2][C:6].[C:4][H:12]>>[C:2][C:4].[C:6][H:12],CC.C[#1]>>CC.C[#1]
37,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16].[O:1]([C:2][H:8])[H:7],[C:2]([C:3])[C:6]>>[C:2].[C:3][C:6],C(C)C>>C.CC
38,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]([C:4]([C:5]([C:6]([C:2](=[C:3]([H:9])[H:10])[H:8])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:7],[O:1][C:2][C:3][C:4]>>[C:2]=[C:3].[O:1][C:4],OCCC>>C=C.OC
39,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([O:6]/[C:5](=[N:4]\[H:11])[H:12])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],[C:1]/[N:2]=[C:3]/[N:4].[O:6]>>[C:1][O:6].[N:2]#[C:3].[N:4],C/N=C/N.O>>CO.N#C.N
40,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](/[N+:4](=[C-:5][O:6][H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[N:4][C:5](=[O:6])[H:12]>>[N+:4]=[C-:5][O:6][H:12],NC(=O)[#1]>>[N&+]=[C&-]O[#1]
41,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N+:2](=[C-:3][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[N:2]=[C:3][H:10]>>[N+:2](=[C-:3])[H:10],N=C[#1]>>[N&+](=[C&-])[#1]
42,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](\[O:6]/[C:5](=[N:4]/[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],[C:3][N:4].[O:6]>>[C:3][O:6].[N:4],CN.O>>CO.N
43,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C-:5]#[O+:6].[C:1]([N:2](/[C:3](=[N:4]/[H:11])[H:10])[H:12])([H:7])([H:8])[H:9],[N:2].[N:4][C:5](=[O:6])[H:12]>>[C-:5]#[O+:6].[N:2][H:12].[N:4],N.NC(=O)[#1]>>[C&-]#[O&+].N[#1].N
44,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],[C:1]/[N:2]=[C:3]/[N:4]>>[C:1][N:4].[N:2]#[C:3],C/N=C/N>>CN.N#C
45,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]1[C@:3]2([H:10])[N:4]([H:11])[C@:5]2([H:12])[O:6]1)([H:7])([H:8])[H:9],[C:5]=[O:6].[N:2]=[C:3]>>[N:2]1[C:3][C:5][O:6]1,C=O.N=C>>N1CCO1
46,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C-:1]([N+:2](=[C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])[H:7])([H:8])[H:9],[C:1]([N:2])[H:7]>>[C-:1][N+:2][H:7],C(N)[#1]>>[C&-][N&+][#1]
47,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[N:2][C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])[H:10])([H:8])[H:9],[C:1][H:7].[C:3]>>[C:1].[C:3][H:7],C[#1].C>>C.C[#1]
48,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:12])[H:10])[H:11])([H:7])([H:8])[H:9],[N:2].[N:4][H:11]>>[N:2][H:11].[N:4],N.N[#1]>>N[#1].N
49,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](/[N:4]=[C:5](/[O:6][H:11])[H:12])[H:10])([H:7])([H:8])[H:9],[N:4][H:11].[O:6]>>[N:4].[O:6][H:11],N[#1].O>>N.O[#1]
50,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[N:2][C@:3]1([H:10])[N:4]([H:11])[C@@:5]1([O:6][H:7])[H:12])([H:8])[H:9],[C:1][H:7].[C:3].[C:5]=[O:6]>>[C:1].[C:3][C:5][O:6][H:7],C[#1].C.C=O>>C.CCO[#1]
51,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:3][C:4][C:5]#[N:6]>>[C:3][N:6]=[C:5]=[C:4],CCC#N>>CN=C=C
52,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][H:12])([H:7])([H:8])[H:9].[C:3](=[C:4]([C:5]#[N:6])[H:13])([H:10])[H:11],[O:2][C:3][C:4][H:12]>>[C:3]=[C:4].[O:2][H:12],OCC[#1]>>C=C.O[#1]
53,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([C:4]([N+:6]#[C-:5])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:4][C:5]#[N:6]>>[C:4][N+:6]#[C-:5],CC#N>>C[N&+]#[C&-]
54,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:7])([H:8])[H:9].[O:2]=[C:3]([H:10])[H:11],[C:1][O:2][C:3][C:4][C:5]#[N:6]>>[C:1][N:6]=[C:5]=[C:4].[O:2]=[C:3],COCCC#N>>CN=C=C.O=C
55,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3](=[C:4]([H:12])[H:13])[H:11])([H:7])([H:8])[H:9].[C:5](#[N:6])[H:10],[C:3]([C:4][C:5])[H:10]>>[C:3]=[C:4].[C:5][H:10],C(CC)[#1]>>C=C.C[#1]
56,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C@@:3]1([H:10])[C:4]([H:9])([H:11])[O:5]1)([H:6])([H:7])[H:8],[C:3]([C:4]=[O:5])[H:9]>>[C:3]1[C:4]([H:9])[O:5]1,C(C=O)[#1]>>C1C([#1])O1
57,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1](=[O+:2][C:3](=[C:4]([O-:5])[H:11])[H:10])([H:6])[H:8].[H:7][H:9],[C:1]([O:2][C:3][H:9])[H:7].[O:5]>>[C:1]=[O+:2][C:3].[H:7][H:9].[O-:5],C(OC[#1])[#1].O>>C=[O&+]C.[#1][#1].[O&-]
58,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3]([O+:5]=[C-:4][H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:3][C:4]=[O:5]>>[C:3][O+:5]=[C-:4],CC=O>>C[O&+]=[C&-]
59,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][O:5][C:4](=[C:3]([H:9])[H:10])[H:11])([H:6])([H:7])[H:8],[O:2][C:3].[O:5]>>[C:3].[O:2][O:5],OC.O>>C.OO
60,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1](=[O:2])([H:6])[H:8].[C:3](=[C:4]([O:5][H:7])[H:11])([H:9])[H:10],[C:1]([O:2][C:3])[H:7].[O:5]>>[C:1]=[O:2].[C:3].[O:5][H:7],C(OC)[#1].O>>C=O.C.O[#1]
61,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C+:1]([C@:4]([C:3]([O:2][H:7])([H:9])[H:10])([O-:5])[H:11])([H:6])[H:8],[C:1]([O:2])[H:7].[C:4]=[O:5]>>[C+:1][C:4][O-:5].[O:2][H:7],C(O)[#1].C=O>>[C&+]C[O&-].O[#1]
62,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([N+:6]#[C-:5])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:4][C:5]#[N:6]>>[C:4][N+:6]#[C-:5],CC#N>>C[N&+]#[C&-]
63,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([C:3]([H:11])([H:12])[H:13])[H:10])([H:7])[H:8].[C:4]1([H:14])([H:15])[C:5]([H:9])=[N:6]1,[C:1]([C:2][C:4][C:5]#[N:6])[H:9]>>[C:1]=[C:2].[C:4]1[C:5]([H:9])=[N:6]1,C(CCC#N)[#1]>>C=C.C1C([#1])=N1
64,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C@:2]1([H:10])[C:5]([C:4]([C:3]([H:11])([H:12])[H:13])([H:14])[H:15])=[N:6]1)([H:7])([H:8])[H:9],[C:2]([C:3])[C:4][C:5]#[N:6]>>[C:2]1[C:5]([C:4][C:3])=[N:6]1,C(C)CC#N>>C1C(CC)=N1
65,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([N:6]=[C:5]=[C:4]([H:14])[H:15])([H:11])[H:13])([H:10])[H:12])([H:7])([H:8])[H:9],[C:2]([C:3][H:12])[C:4][C:5]#[N:6]>>[C:2]([C:3][N:6]=[C:5]=[C:4])[H:12],C(C[#1])CC#N>>C(CN=C=C)[#1]
66,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4](=[C:5]=[N:6][H:15])[H:14])[H:10])([H:7])([H:8])[H:9],[C:4]([C:5]#[N:6])[H:15]>>[C:4]=[C:5]=[N:6][H:15],C(C#N)[#1]>>C=C=N[#1]
67,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]=[N:6][H:13])([H:14])[H:15],[C:2]([C:3][H:13])[C:4][C:5]#[N:6]>>[C:2]=[C:3].[C:4]=[C:5]=[N:6][H:13],C(C[#1])CC#N>>C=C.C=C=N[#1]
68,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])/[C:5](=[N:6]/[H:13])[C:4]1([H:14])[H:15])([H:7])([H:8])[H:9],[C:3][H:13].[C:5]#[N:6]>>[C:3]/[C:5]=[N:6]/[H:13],C[#1].C#N>>C/C=N/[#1]
