reaction_type_index,reaction_type,reaction_indices
11,OCC[#1]>>C=C.O[#1],"[23, 52, 304, 457, 620, 654, 728, 941, 1165, 1177, 1249, 1401, 1662, 1678, 1716, 1720, 1739, 1820, 1853, 1884, 2133, 2248, 2338, 2493, 2623, 2699, 2981, 3057, 3128, 3355, 3513, 3754, 3854, 3911, 3912, 3979, 4017, 4094, 4104, 4127, 4180, 4288, 4316, 4890, 4942, 4970, 5010, 5051, 5060, 5330, 5365, 5462, 5562, 5656, 5678, 5848, 5960, 6154, 6179, 6190, 6206, 6212, 6426, 6452, 6657, 6663, 6722, 7147, 7230, 7533, 7552, 7708, 8184, 8211, 8221, 8366, 8490, 8518, 8540, 8765, 9271, 9408, 9411, 9425, 9472, 9600, 9697, 9851, 10084, 10533, 10745, 10797, 10884, 10927, 11019, 11063, 11459, 11493, 11652, 11808, 11899]"
12,CC(O)[#1]>>[C&-]=[O&+].C[#1],"[119, 139, 272, 274, 286, 561, 866, 1018, 1179, 1391, 1394, 1529, 1555, 1565, 1583, 1585, 1675, 1727, 1905, 1928, 1992, 2045, 2157, 2165, 2287, 2357, 2415, 2926, 3223, 3244, 3468, 3492, 3572, 3592, 3734, 4160, 4283, 4346, 4362, 4515, 4895, 4915, 4978, 4989, 5115, 5137, 5168, 5295, 5296, 5458, 5583, 5613, 5627, 5657, 5859, 5931, 6128, 6133, 6284, 6290, 6313, 6348, 6503, 6504, 6577, 6605, 6645, 6666, 6742, 6892, 7030, 7046, 7113, 7250, 7370, 7545, 7855, 8326, 8442, 8655, 8725, 9114, 9409, 9464, 9484, 9541, 9652, 9838, 10708, 10851, 11008, 11385, 11422, 11613, 11644, 11741, 11902, 11909]"
13,C(N)[#1]>>[C&-][N&+][#1],"[46, 474, 793, 1309, 1740, 1742, 1982, 2111, 2202, 2221, 2424, 2450, 2508, 2586, 2642, 2651, 2744, 2848, 2903, 2962, 3278, 3377, 3608, 3610, 3650, 3737, 3767, 3817, 3835, 3839, 4188, 4571, 4597, 4601, 4776, 5003, 5117, 5305, 5381, 5492, 5530, 5535, 5623, 6083, 6398, 6492, 6545, 6626, 6648, 6804, 7164, 7178, 7294, 7969, 7990, 7995, 8056, 8123, 8595, 8845, 8865, 9004, 9127, 9499, 9630, 9726, 9849, 9895, 9987, 10049, 10132, 10134, 10350, 10371, 10374, 10379, 11051, 11091, 11099, 11407, 11456, 11468, 11522, 11706]"
14,C(CC)[#1]>>C=C.C[#1],"[55, 72, 99, 291, 428, 483, 535, 657, 852, 1217, 1381, 1432, 1502, 1512, 1857, 2078, 2198, 2634, 2681, 2722, 2763, 2820, 2931, 3324, 3481, 3662, 3812, 3930, 3983, 4136, 4413, 4589, 4830, 4840, 4848, 4853, 5159, 5188, 5512, 5607, 5751, 5856, 5903, 6026, 6061, 6156, 6453, 6734, 7092, 7111, 7213, 7819, 7975, 8169, 8223, 8262, 8282, 8452, 8564, 8666, 8782, 9124, 9268, 9440, 9589, 9817, 10235, 10383, 10515, 10549, 10633, 10760, 10814, 10823, 10901, 11016, 11317, 11483, 11653]"
15,OC(C)[#1]>>C[#1].[O&+]=[C&-],"[311, 383, 1446, 1663, 1666, 1891, 2228, 3186, 3231, 3266, 3399, 3520, 3578, 3589, 3748, 3750, 3870, 3977, 4120, 4122, 4809, 4813, 5054, 5059, 5615, 5636, 5908, 6040, 6202, 6219, 6383, 6575, 6714, 6717, 6889, 7102, 7128, 7399, 7702, 7715, 7845, 8140, 8172, 8212, 8398, 8406, 8438, 8509, 8517, 8519, 8658, 8759, 8930, 9013, 9231, 9426, 9537, 9547, 9828, 9839, 9840, 10713, 10804, 10872, 10876, 11010, 11014, 11066, 11069, 11187, 11192, 11218, 11382, 11557, 11662, 11737, 11801, 11810]"
16,N[#1].O>>N.O[#1],"[49, 634, 778, 813, 840, 1084, 1085, 1089, 1169, 1290, 1357, 1454, 1627, 1691, 1826, 2038, 2109, 2312, 2349, 2466, 2541, 2594, 3070, 3183, 3344, 3346, 3431, 3437, 3454, 3524, 3891, 3937, 3958, 4397, 4749, 4777, 4875, 4908, 5032, 5118, 5308, 5384, 5432, 5447, 5588, 5826, 5893, 5966, 6067, 6238, 6475, 6499, 6602, 6952, 7009, 7072, 7799, 7907, 8241, 8265, 8623, 8709, 8737, 8744, 8746, 8998, 9254, 10007, 10125, 10345, 10443, 10564, 10647, 10726, 11052, 11418, 11571, 11772]"
17,C1CCC1>>C=C.C=C,"[9, 112, 143, 472, 504, 610, 662, 1482, 1705, 1749, 1776, 2003, 2147, 2247, 2434, 2576, 2698, 2702, 2896, 2954, 3016, 3021, 3229, 3297, 3412, 3495, 3582, 3648, 3859, 3865, 4657, 4668, 4675, 4998, 5041, 5208, 5255, 5630, 5728, 5731, 5802, 6056, 6151, 6204, 6434, 6671, 6677, 7036, 7223, 7640, 8161, 8165, 8171, 8400, 8401, 8435, 8445, 8508, 8510, 8598, 8949, 9012, 9581, 9602, 9688, 9867, 10315, 10388, 10402, 10659, 10662, 10676, 10895, 10898, 11125, 11155, 11388, 11539]"
18,C(C#C)[#1]>>C=C=C[#1],"[231, 276, 342, 553, 766, 1204, 1475, 1599, 1787, 1815, 1962, 2011, 2135, 2171, 2237, 2728, 2815, 2833, 2949, 3163, 3191, 3308, 3378, 3506, 3617, 3790, 3831, 3904, 3950, 3955, 4271, 4273, 4348, 4405, 4417, 4436, 4752, 5125, 5217, 5370, 5414, 5723, 5851, 6048, 6079, 6101, 6518, 6591, 6592, 6942, 8002, 8020, 8189, 8199, 8348, 9203, 9214, 9533, 9742, 9878, 9957, 10278, 10424, 10578, 10805, 11031, 11326, 11669, 11822, 11839]"
19,CC=O>>C[O&+]=[C&-],"[58, 71, 169, 302, 673, 1026, 1057, 1170, 1223, 1338, 1385, 1408, 1420, 1473, 1613, 1895, 2242, 2714, 2762, 2822, 2880, 3430, 3697, 3894, 3976, 4082, 4129, 4399, 4460, 4468, 4650, 4711, 4850, 4873, 5076, 5129, 5194, 5438, 5705, 5744, 5964, 6066, 6260, 6420, 6449, 7152, 7203, 7515, 7620, 7828, 8542, 8734, 9241, 9299, 10111, 10198, 10335, 10513, 10569, 10704, 11261, 11787]"
20,NC[#1]>>[N&+]([C&-])[#1],"[152, 252, 325, 432, 526, 607, 1188, 1200, 1342, 1659, 2056, 2263, 2321, 2446, 2505, 2753, 2778, 2849, 2934, 2960, 3165, 3339, 3380, 3458, 3470, 3785, 3944, 3988, 4186, 4339, 4552, 5000, 5005, 5008, 5050, 5230, 5824, 5963, 5999, 6240, 6540, 6747, 6877, 7604, 8101, 8264, 8892, 8931, 9233, 9641, 9730, 9732, 9799, 9803, 9960, 10119, 10237, 10439, 10984, 11700, 11847]"
21,CC.O>>CO.C,"[76, 299, 619, 674, 1055, 1154, 1214, 1419, 1433, 1542, 1616, 1824, 1900, 1974, 2083, 2693, 2819, 3289, 3981, 4093, 4462, 4469, 4498, 4856, 4857, 4872, 5080, 5155, 5157, 5205, 5355, 5358, 5727, 5754, 5875, 5969, 6073, 6256, 6264, 6445, 7098, 7308, 7508, 8728, 8939, 9094, 9252, 9260, 9292, 9946, 9949, 10115, 10342, 10505, 10566, 11475, 11771, 11833, 11845]"
22,C[#1].C=O>>CCO[#1],"[78, 171, 394, 811, 981, 1148, 1893, 1973, 2000, 2153, 2155, 2398, 2686, 3898, 3968, 3984, 5746, 5821, 5878, 5896, 6065, 6071, 6393, 6448, 6468, 6603, 6883, 7095, 7603, 7914, 8233, 8240, 8281, 8624, 8627, 8727, 8730, 9243, 9244, 10013, 10042, 10080, 10081, 10102, 10106, 10242, 10349, 10504, 10511, 10521, 10710, 11457, 11474, 11568, 11577, 11777, 11829, 11950]"
23,C(O[#1])[#1]>>C=O.[#1][#1],"[167, 1284, 1782, 1874, 1913, 1921, 1994, 2023, 2188, 2578, 2613, 2768, 2855, 2999, 3020, 3024, 3193, 3350, 3553, 3601, 4371, 4587, 4706, 4732, 4849, 4913, 5160, 5428, 6012, 7054, 7408, 7513, 7588, 7824, 7825, 7851, 8069, 8294, 8733, 8923, 8963, 9720, 10051, 10323, 10325, 10456, 10730, 10831, 11043, 11246, 11373]"
24,C(CCC[#1])[#1]>>C=C.C=C.[#1][#1],"[243, 771, 848, 1000, 1032, 1243, 1245, 1438, 1537, 1977, 2534, 2765, 2968, 3536, 3800, 4071, 5189, 6058, 6368, 6895, 6900, 6967, 7210, 7527, 7547, 7582, 7706, 7720, 8070, 8291, 8609, 9571, 9930, 10058, 10062, 10099, 10181, 10400, 10822, 10824, 10879, 10883, 11037, 11057, 11199, 11368, 11538, 11678, 11680, 11864, 11923]"
25,C(C)C>>C.CC,"[37, 262, 1185, 1190, 1397, 1508, 1509, 1708, 2251, 2366, 2480, 2695, 2970, 3251, 3267, 3290, 3390, 3494, 3602, 4022, 4333, 4446, 5002, 5211, 5300, 6188, 6571, 7153, 7782, 7821, 7846, 8045, 8046, 8159, 8365, 8662, 8852, 9782, 9854, 9979, 10178, 10362, 10386, 10390, 10398, 10816, 11018, 11383, 11602, 11896]"
26,CC#C>>CC=C,"[203, 351, 630, 738, 765, 1786, 2125, 2174, 2382, 2497, 2638, 2670, 2813, 2834, 3067, 3395, 3782, 3910, 3947, 4029, 4057, 4267, 4402, 4555, 4622, 4698, 4756, 5690, 5715, 6051, 6521, 6586, 7302, 8027, 8192, 8205, 8350, 8706, 9377, 9746, 9883, 10474, 10811, 11150, 11302, 11329, 11561, 11668]"
27,C(O)([#1])[#1]>>[C&-]=[O&+].[#1][#1],"[120, 289, 337, 903, 1520, 1556, 1665, 1718, 1885, 2409, 2743, 2924, 3252, 3807, 4167, 4285, 4517, 4899, 4928, 4984, 5112, 5444, 5651, 5855, 6029, 6102, 6122, 6288, 6598, 6655, 7034, 7059, 7100, 7259, 8136, 8218, 8338, 9631, 9809, 9830, 9873, 9934, 10854, 10900, 11009, 11432, 11650]"
28,C(C#N)[#1]>>C=C=N[#1],"[66, 233, 247, 253, 340, 381, 488, 1464, 1923, 1984, 2052, 2596, 2621, 2861, 2990, 3132, 3168, 3740, 3826, 3851, 4174, 4239, 4439, 4455, 4772, 4822, 5066, 5505, 5692, 5836, 5952, 6171, 6541, 6813, 6955, 6971, 7163, 8030, 8190, 8844, 9896, 9920, 10695, 10840, 11853]"
29,OC[#1]>>C.O[#1],"[182, 204, 469, 665, 880, 992, 1587, 1664, 1735, 1849, 2159, 2297, 2413, 2973, 3570, 4257, 4287, 4448, 4947, 5061, 5324, 5369, 5513, 5569, 5629, 6125, 6134, 6388, 6562, 6579, 6652, 7356, 7401, 7679, 7691, 8532, 8543, 8769, 9016, 10452, 10869, 10992, 11068, 11189, 11807]"
30,OCC>>C.OC,"[35, 303, 703, 732, 1442, 1466, 1731, 1851, 2355, 2953, 3039, 3233, 3853, 3915, 4087, 4103, 4118, 5052, 5292, 5320, 5403, 5463, 5709, 5959, 6155, 6182, 6222, 6659, 6740, 7159, 7541, 7673, 7704, 8012, 8156, 8764, 8926, 9018, 9407, 9424, 9811, 10715, 10802, 11227, 11651]"
31,CN.O>>CO.N,"[42, 1086, 1361, 2189, 2346, 2517, 2539, 2905, 3345, 3423, 3595, 3887, 3897, 3960, 4563, 4576, 4780, 4792, 4861, 5119, 5434, 5471, 5593, 5622, 5819, 5929, 6486, 6604, 6788, 6794, 7013, 7801, 7905, 8109, 8120, 8229, 8271, 8999, 9386, 9390, 10009, 10044, 10236, 11053, 11564]"
32,O(CC)[#1]>>C[#1].O=C,"[32, 463, 464, 646, 651, 933, 938, 1677, 1680, 1714, 1717, 2169, 2246, 3061, 3170, 3496, 3855, 4521, 4889, 4944, 5007, 5009, 5301, 5367, 5775, 5975, 5976, 6191, 6192, 6555, 7158, 7850, 8167, 8168, 8369, 8409, 9399, 9401, 9477, 9607, 10150, 10451, 11461, 11495]"
33,CC.O>>C.OC,"[1137, 1298, 1386, 1414, 1494, 1610, 2034, 2283, 2333, 2677, 2799, 3072, 3162, 3299, 3316, 3439, 4132, 4354, 4416, 4496, 4651, 4664, 4753, 4927, 4953, 5345, 5529, 6416, 8116, 8482, 8524, 8780, 9064, 9118, 9306, 9950, 10161, 10429, 10603, 10642, 10722, 10766, 10776, 11406]"
34,C[#1].CO>>CC.O[#1],"[2, 1855, 1910, 1914, 2026, 2561, 2769, 2866, 3099, 3272, 3534, 3542, 3596, 4126, 4281, 4430, 4588, 4729, 5259, 5429, 6008, 6138, 6218, 6362, 6364, 7551, 7591, 7688, 7697, 7722, 7724, 8128, 8295, 8454, 9169, 9925, 10192, 10326, 10723, 10829, 10834, 11032, 11040]"
35,C(=O)[#1]>>CO[#1],"[392, 618, 978, 1220, 1352, 1364, 1415, 1968, 2008, 2352, 2827, 3028, 3200, 3280, 3876, 3896, 3956, 3980, 4256, 5079, 5743, 5870, 6090, 6249, 6415, 6470, 6615, 7087, 7196, 7617, 7842, 8394, 9301, 9984, 10012, 10082, 10108, 10212, 10522, 10701, 11367, 11565, 11825]"
